NodeId nbSent nbReceived
267 76 64
264 172 159
265 302 263
270 5 6
271 119 117
268 1 2
269 107 106
305 28 28
304 1 2
307 62 59
306 27 26
309 59 41
308 421 291
311 2 3
310 1 2
313 100 94
312 72 72
315 116 114
314 322 284
317 10 11
316 190 160
319 168 158
318 54 46
288 20 19
289 17 18
290 61 55
291 47 47
292 834 608
293 136 126
294 1 2
295 46 39
296 47 36
297 15 16
298 1 2
299 283 269
300 253 236
301 244 147
302 4 3
303 1 2
343 537 338
342 344 228
341 31 32
340 101 93
339 25 24
338 36 37
337 1 2
336 205 192
351 1 2
350 17 18
349 34 30
348 10 11
347 54 53
346 53 47
345 155 149
344 133 130
326 192 180
327 5 5
324 47 41
325 1 2
322 38 34
323 6 5
320 67 65
321 5 6
334 1 2
335 168 142
332 1 2
333 3 4
330 11 12
331 37 36
328 1 2
329 22 22
373 24 24
372 43 40
375 30 27
374 29 26
369 4 3
368 138 126
371 18 16
370 1099 738
381 51 45
380 47 48
383 361 342
382 120 117
377 34 35
376 20 14
379 44 38
378 229 224
356 1 2
357 121 120
358 58 45
359 2 3
352 1 2
353 705 415
354 126 124
355 216 209
364 79 75
365 3 4
366 2 2
367 280 175
360 223 137
361 1 2
362 17 18
363 5 6
410 1 2
411 2 3
408 77 76
409 141 133
414 1 2
415 12 13
412 1 2
413 27 27
402 172 127
403 300 288
400 312 297
401 66 66
406 145 116
407 15 15
404 207 202
405 17 18
395 5 3
394 1 2
393 157 127
392 3 4
399 43 42
398 134 134
397 12 8
396 10 11
387 6 6
386 164 149
385 178 137
384 42 40
391 131 86
390 35 11
389 18 18
388 163 164
440 55 52
441 172 155
442 233 206
443 505 277
444 542 453
445 6 6
446 137 130
447 13 11
432 2 3
433 1 2
434 8 6
435 2 2
436 24 25
437 7 8
438 178 151
439 9 10
425 162 160
424 36 37
427 14 14
426 160 157
429 33 34
428 2 3
431 1 2
430 181 171
417 113 109
416 791 661
419 48 30
418 139 133
421 2 3
420 141 136
423 364 346
422 7 8
478 607 492
479 160 154
476 10 11
477 163 159
474 23 24
475 67 64
472 119 119
473 232 231
470 228 222
471 297 276
468 5 6
469 75 76
466 79 78
467 42 38
464 34 35
465 80 80
463 24 25
462 180 176
461 59 60
460 1 2
459 28 29
458 1261 879
457 96 87
456 100 97
455 84 84
454 227 211
453 1 2
452 281 267
451 62 54
450 151 149
449 174 157
448 305 274
508 137 136
509 111 111
510 138 137
511 40 40
504 177 170
505 79 77
506 25 25
507 49 50
500 74 70
501 32 33
502 101 97
503 12 11
496 17 18
497 89 89
498 165 137
499 269 269
493 101 98
492 168 158
495 43 44
494 7 8
489 176 174
488 171 172
491 57 51
490 223 218
485 76 73
484 71 65
487 221 196
486 59 53
481 304 287
480 270 265
483 13 13
482 21 22
550 119 119
551 219 210
548 35 36
549 210 199
546 63 58
547 58 58
544 61 60
545 68 69
558 78 79
559 86 86
556 147 148
557 67 67
554 310 190
555 43 44
552 33 33
553 24 25
567 9 10
566 924 490
565 134 134
564 181 181
563 147 143
562 203 203
561 49 50
560 167 163
575 217 215
574 24 24
573 161 154
572 166 163
571 5 6
570 105 101
569 13 14
568 86 86
516 552 454
517 45 46
518 46 47
519 167 156
512 94 93
513 81 72
514 1 2
515 67 68
524 30 30
525 214 201
526 292 285
527 85 82
520 540 487
521 81 68
522 52 51
523 102 97
533 143 124
532 33 33
535 42 43
534 14 15
529 22 23
528 279 261
531 89 80
530 486 318
541 32 28
540 54 55
543 521 241
542 54 52
537 54 54
536 35 36
539 249 237
538 64 65
610 36 33
611 77 75
608 20 19
609 6 7
614 133 121
615 92 89
612 47 47
613 386 265
618 13 12
619 2 3
616 38 39
617 9 10
622 42 43
623 61 57
620 145 132
621 145 132
627 31 31
626 42 43
625 62 62
624 147 148
631 100 99
630 22 22
629 16 17
628 19 19
635 69 70
634 4 5
633 34 35
632 74 75
639 463 435
638 93 94
637 1 2
636 51 51
576 117 118
577 86 81
578 40 39
579 90 84
580 60 58
581 299 279
582 123 118
583 17 14
584 41 41
585 308 287
586 207 208
587 71 72
588 829 477
589 61 62
590 38 34
591 137 136
593 186 181
592 257 244
595 112 111
594 51 48
597 9 10
596 215 198
599 109 103
598 17 18
601 12 13
600 11 12
603 105 91
602 61 59
605 1 2
604 105 101
607 36 34
606 31 31
687 92 92
686 221 165
685 104 103
684 148 147
683 1 2
682 23 24
681 147 146
680 33 34
679 10 11
678 212 206
677 137 132
676 258 255
675 128 125
674 157 157
673 70 69
672 211 209
702 6 7
703 62 63
700 231 232
701 6 7
698 6 7
699 22 23
696 55 9
697 1 2
694 275 265
695 18 19
692 184 181
693 11 12
690 18 19
691 50 50
688 121 120
689 8 9
653 141 138
652 538 466
655 38 39
654 36 37
649 6 7
648 5 6
651 81 79
650 20 21
645 146 146
644 54 52
647 539 292
646 9 10
641 72 71
640 91 89
643 16 17
642 108 109
668 57 58
669 17 18
670 68 68
671 6 7
664 173 172
665 27 28
666 180 167
667 44 45
660 19 18
661 49 50
662 120 117
663 20 21
656 70 70
657 34 34
658 108 106
659 244 202
747 19 20
746 11 12
745 115 106
744 82 81
751 73 74
750 6 7
749 52 51
748 3 4
739 21 22
738 6 7
737 28 26
736 121 102
743 14 15
742 45 46
741 36 32
740 7 8
762 116 105
763 7 8
760 30 31
761 6 7
766 63 61
767 11 12
764 43 43
765 10 11
754 47 48
755 17 18
752 74 75
753 51 50
758 52 48
759 13 13
756 26 27
757 6 7
713 12 11
712 102 93
715 113 112
714 174 174
717 1 2
716 234 231
719 115 106
718 10 11
705 19 19
704 73 70
707 132 119
706 24 25
709 31 32
708 32 33
711 43 42
710 10 9
728 2 3
729 21 22
730 75 73
731 13 13
732 27 28
733 22 23
734 686 548
735 60 54
720 24 24
721 32 33
722 5 6
723 230 212
724 96 95
725 3 4
726 63 64
727 52 53
821 11 12
820 65 62
823 908 624
822 190 162
817 48 49
816 129 130
819 65 64
818 33 34
829 43 43
828 106 107
831 4 5
830 88 86
825 13 14
824 138 134
827 6 7
826 6 7
804 219 209
805 60 58
806 4 5
807 40 41
800 29 24
801 27 28
802 405 361
803 99 96
812 48 48
813 70 68
814 29 30
815 306 286
808 84 82
809 3 4
810 3 4
811 18 19
791 30 28
790 2 3
789 28 24
788 21 14
787 162 163
786 70 68
785 49 48
784 20 21
799 31 32
798 68 68
797 109 110
796 104 98
795 24 20
794 155 152
793 14 15
792 74 73
774 22 23
775 23 12
772 106 104
773 100 92
770 83 80
771 109 101
768 42 42
769 60 61
782 62 60
783 48 49
780 227 215
781 8 9
778 38 39
779 110 110
776 23 24
777 6 7
881 14 15
880 135 91
883 25 26
882 56 57
885 71 70
884 162 159
887 310 180
886 7 8
889 191 190
888 36 36
891 52 53
890 82 82
893 591 290
892 61 57
895 44 45
894 19 20
864 31 32
865 75 75
866 58 59
867 20 20
868 6 7
869 69 66
870 41 42
871 77 77
872 21 22
873 62 61
874 54 53
875 133 110
876 132 100
877 6 7
878 297 197
879 101 87
851 666 516
850 7 8
849 1 2
848 6 7
855 4 3
854 6 7
853 72 72
852 116 114
859 60 59
858 5 5
857 3 4
856 3 4
863 64 65
862 26 27
861 104 100
860 45 46
834 9 10
835 14 15
832 2 3
833 21 20
838 39 40
839 89 90
836 42 41
837 50 51
842 132 128
843 1 2
840 6 7
841 7 8
846 2 3
847 6 7
844 6 7
845 59 59
956 7 8
957 4 5
958 75 66
959 38 35
952 12 13
953 7 8
954 7 8
955 7 8
948 169 140
949 101 101
950 106 76
951 39 40
944 3 4
945 33 31
946 71 71
947 2 3
941 7 8
940 81 75
943 49 50
942 5 6
937 54 55
936 73 74
939 386 284
938 6 7
933 29 30
932 21 22
935 4 5
934 84 83
929 295 245
928 74 59
931 17 17
930 39 39
926 8 9
927 16 17
924 240 217
925 263 247
922 136 115
923 94 87
920 214 176
921 8 9
918 121 110
919 118 85
916 6 7
917 72 70
914 49 50
915 446 370
912 5 6
913 204 204
911 5 6
910 125 92
909 16 17
908 4 5
907 72 72
906 37 38
905 32 33
904 123 118
903 26 22
902 2 3
901 26 27
900 22 23
899 23 24
898 50 51
897 39 37
896 43 42
1016 52 53
1017 40 41
1018 32 33
1019 17 18
1020 15 15
1021 1 2
1022 3 4
1023 9 8
1008 7 8
1009 11 12
1010 15 16
1011 30 30
1012 2 3
1013 16 17
1014 4 5
1015 6 7
1001 13 14
1000 65 43
1003 10 11
1002 4 5
1005 9 10
1004 10 11
1007 10 8
1006 6 7
993 5 6
992 22 19
995 33 31
994 12 11
997 10 11
996 8 9
999 10 11
998 10 11
986 3 4
987 2 3
984 130 78
985 35 36
990 11 11
991 22 23
988 8 9
989 37 36
978 11 12
979 12 13
976 11 12
977 46 41
982 43 43
983 19 19
980 2 3
981 9 10
971 40 41
970 15 16
969 73 54
968 4 5
975 7 8
974 29 29
973 31 31
972 32 32
963 3 4
962 2 3
961 2 3
960 143 118
967 54 29
966 7 7
965 4 5
964 3 4
1100 7 8
1101 119 119
1102 76 76
1103 112 109
1096 69 70
1097 112 113
1098 28 29
1099 50 51
1092 34 35
1093 55 56
1094 137 138
1095 275 271
1088 66 67
1089 22 23
1090 80 81
1091 49 50
1117 39 40
1116 48 48
1119 21 22
1118 178 173
1113 51 51
1112 64 65
1115 47 47
1114 111 112
1109 26 27
1108 125 81
1111 157 145
1110 96 97
1105 60 59
1104 158 154
1107 30 31
1106 38 39
1134 16 17
1135 16 17
1132 80 81
1133 31 32
1130 56 57
1131 6 7
1128 50 50
1129 37 34
1126 47 44
1127 103 101
1124 5 6
1125 23 24
1122 147 126
1123 6 7
1120 58 58
1121 49 50
1151 19 20
1150 12 13
1149 18 19
1148 48 49
1147 64 65
1146 78 79
1145 110 110
1144 32 33
1143 72 73
1142 51 52
1141 81 79
1140 74 75
1139 1068 777
1138 219 219
1137 226 206
1136 10 11
1032 158 157
1033 11 12
1034 61 62
1035 38 39
1036 150 151
1037 14 15
1038 74 75
1039 9 10
1024 4 5
1025 24 24
1026 198 198
1027 165 155
1028 1244 902
1029 16 17
1030 143 138
1031 417 349
1049 172 171
1048 135 134
1051 84 84
1050 220 217
1053 209 135
1052 65 66
1055 74 75
1054 32 33
1041 38 39
1040 124 119
1043 114 113
1042 76 77
1045 101 101
1044 108 109
1047 8 9
1046 298 293
1066 4 5
1067 1 2
1064 11 12
1065 3 4
1070 135 136
1071 162 162
1068 144 144
1069 130 130
1058 47 45
1059 61 50
1056 104 105
1057 103 102
1062 1 2
1063 90 84
1060 90 91
1061 327 319
1083 79 78
1082 67 68
1081 50 51
1080 64 64
1087 126 122
1086 76 77
1085 23 24
1084 230 226
1075 66 66
1074 78 78
1073 80 81
1072 108 109
1079 51 52
1078 34 35
1077 243 240
1076 253 249
1221 69 70
1220 8 9
1223 8 9
1222 80 80
1217 116 117
1216 205 203
1219 3 4
1218 26 27
1229 34 35
1228 64 65
1231 25 26
1230 6 7
1225 5 6
1224 74 75
1227 11 12
1226 11 12
1236 86 86
1237 9 10
1238 55 55
1239 32 33
1232 10 11
1233 377 361
1234 108 109
1235 8 9
1244 59 60
1245 84 84
1246 31 32
1247 24 25
1240 45 46
1241 29 26
1242 71 71
1243 14 15
1255 26 27
1254 3 4
1253 55 56
1252 123 123
1251 6 7
1250 11 12
1249 7 8
1248 34 35
1263 1 2
1262 1 2
1261 1 2
1260 1 2
1259 43 31
1258 1 2
1257 6 6
1256 1 2
1270 3 4
1271 4 5
1268 1 2
1269 5 3
1266 2 3
1267 2 3
1264 2 3
1265 25 21
1278 1 2
1279 5 6
1276 9 10
1277 1 2
1274 1 2
1275 1 2
1272 1 2
1273 4 5
1153 37 38
1152 62 61
1155 8 9
1154 93 93
1157 8 9
1156 8 9
1159 90 89
1158 80 80
1161 243 192
1160 31 28
1163 61 62
1162 174 174
1165 83 84
1164 80 81
1167 51 52
1166 48 49
1168 147 146
1169 41 41
1170 88 87
1171 89 90
1172 22 23
1173 32 33
1174 55 56
1175 24 23
1176 87 86
1177 44 40
1178 57 55
1179 100 100
1180 178 171
1181 40 41
1182 43 41
1183 21 22
1187 62 62
1186 10 11
1185 183 173
1184 41 42
1191 103 104
1190 98 98
1189 88 87
1188 74 73
1195 100 101
1194 12 13
1193 170 171
1192 19 20
1199 17 18
1198 126 127
1197 64 63
1196 50 51
1202 246 201
1203 51 52
1200 11 12
1201 1 2
1206 57 58
1207 70 71
1204 35 36
1205 85 82
1210 91 92
1211 19 20
1208 104 101
1209 44 45
1214 37 38
1215 49 48
1212 19 20
1213 218 217
1375 27 28
1374 1 2
1373 96 92
1372 12 13
1371 343 292
1370 13 14
1369 6 6
1368 99 100
1367 115 113
1366 68 62
1365 159 112
1364 20 21
1363 17 16
1362 36 37
1361 43 42
1360 39 40
1358 3 4
1359 58 45
1356 14 15
1357 42 43
1354 68 69
1355 39 40
1352 17 18
1353 3 4
1350 74 74
1351 13 14
1348 3 4
1349 5 6
1346 8 9
1347 9 10
1344 11 12
1345 10 11
1405 3 4
1404 16 17
1407 5 6
1406 43 40
1401 118 117
1400 1 2
1403 10 8
1402 3 3
1397 41 42
1396 73 73
1399 14 15
1398 3 4
1393 50 51
1392 72 69
1395 69 70
1394 35 35
1388 38 39
1389 88 89
1390 49 50
1391 13 14
1384 37 37
1385 17 18
1386 1 2
1387 114 114
1380 49 47
1381 22 23
1382 11 12
1383 9 10
1376 11 12
1377 10 11
1378 1 2
1379 7 8
1307 70 65
1306 122 122
1305 63 64
1304 263 205
1311 15 16
1310 69 70
1309 8 9
1308 149 140
1299 13 14
1298 49 50
1297 157 156
1296 28 29
1303 34 35
1302 65 66
1301 24 25
1300 55 56
1290 21 22
1291 98 95
1288 30 31
1289 54 55
1294 28 29
1295 34 35
1292 23 21
1293 26 27
1282 6 4
1283 3 4
1280 2 3
1281 3 4
1286 12 12
1287 6 7
1284 1 2
1285 1 2
1337 45 46
1336 9 10
1339 29 30
1338 73 72
1341 146 146
1340 180 180
1343 6 7
1342 4 5
1329 9 10
1328 22 23
1331 28 29
1330 243 180
1333 43 44
1332 78 78
1335 17 18
1334 314 255
1320 147 141
1321 87 87
1322 14 15
1323 64 51
1324 68 65
1325 13 14
1326 44 43
1327 10 11
1312 31 32
1313 49 50
1314 88 89
1315 75 73
1316 79 78
1317 42 43
1318 43 44
1319 24 25
1494 6 7
1495 6 7
1492 6 7
1493 13 14
1490 18 17
1491 9 10
1488 11 12
1489 1 2
1502 10 11
1503 4 5
1500 7 8
1501 5 6
1498 11 12
1499 25 23
1496 6 7
1497 2 2
1479 51 52
1478 228 228
1477 31 32
1476 106 107
1475 21 18
1474 7 8
1473 7 8
1472 62 63
1487 59 57
1486 38 38
1485 36 34
1484 34 32
1483 27 28
1482 7 8
1481 82 77
1480 1 2
1524 44 45
1525 2 3
1526 11 12
1527 92 83
1520 4 5
1521 12 11
1522 1 2
1523 9 10
1532 11 12
1533 7 8
1534 5 6
1535 30 31
1528 365 297
1529 20 21
1530 2 2
1531 10 11
1509 2 3
1508 22 23
1511 9 10
1510 7 8
1505 3 4
1504 70 71
1507 307 218
1506 2 3
1517 56 54
1516 12 13
1519 27 28
1518 1 2
1513 23 24
1512 1 2
1515 43 44
1514 15 16
1426 48 46
1427 7 8
1424 80 81
1425 64 64
1430 144 138
1431 2 3
1428 92 89
1429 37 37
1434 24 24
1435 14 15
1432 17 17
1433 12 13
1438 95 95
1439 124 116
1436 34 34
1437 7 5
1411 13 11
1410 27 28
1409 21 21
1408 70 68
1415 2 3
1414 13 14
1413 35 36
1412 3 4
1419 64 65
1418 8 2
1417 1 2
1416 23 24
1423 20 21
1422 82 73
1421 33 34
1420 30 30
1456 1 2
1457 7 7
1458 118 117
1459 121 122
1460 3 4
1461 86 83
1462 1 2
1463 2 3
1464 96 97
1465 31 31
1466 13 14
1467 7 8
1468 7 8
1469 2 3
1470 137 110
1471 137 137
1441 22 23
1440 1 2
1443 330 322
1442 28 27
1445 5 6
1444 1 2
1447 3 4
1446 1 2
1449 7 6
1448 26 24
1451 5 6
1450 1 2
1453 11 12
1452 5 6
1455 54 55
1454 6 7
1642 11 6
1643 24 23
1640 17 18
1641 3 4
1646 4 5
1647 21 22
1644 1 2
1645 18 19
1634 14 15
1635 16 16
1632 8 9
1633 7 8
1638 1 2
1639 10 11
1636 1 2
1637 115 115
1659 6 7
1658 2 3
1657 108 106
1656 49 46
1663 46 42
1662 59 60
1661 4 5
1660 18 17
1651 39 40
1650 15 16
1649 14 15
1648 3 4
1655 6 7
1654 63 64
1653 103 104
1652 103 99
1608 6 7
1609 4 5
1610 1 2
1611 16 17
1612 5 6
1613 9 8
1614 4 5
1615 45 45
1600 7 8
1601 81 81
1602 76 77
1603 33 34
1604 26 27
1605 6 7
1606 36 35
1607 53 50
1625 4 5
1624 12 13
1627 1 2
1626 6 7
1629 50 49
1628 113 113
1631 3 4
1630 4 4
1617 9 10
1616 25 26
1619 24 25
1618 7 8
1621 9 10
1620 19 20
1623 29 30
1622 19 20
1582 1 2
1583 2 3
1580 1 2
1581 2 3
1578 32 32
1579 26 27
1576 2 3
1577 5 4
1574 43 43
1575 2 3
1572 79 79
1573 15 14
1570 4 5
1571 4 5
1568 72 73
1569 142 40
1599 9 10
1598 6 7
1597 60 57
1596 21 22
1595 6 7
1594 21 22
1593 8 9
1592 74 75
1591 5 6
1590 4 5
1589 1 2
1588 217 112
1587 4 5
1586 93 93
1585 39 40
1584 24 24
1548 45 45
1549 58 59
1550 35 35
1551 16 8
1544 43 44
1545 18 19
1546 68 67
1547 26 27
1540 1 2
1541 59 60
1542 8 9
1543 26 27
1536 1 2
1537 7 8
1538 54 55
1539 12 13
1565 48 49
1564 6 7
1567 4 5
1566 164 164
1561 1 2
1560 119 109
1563 6 7
1562 84 85
1557 1 2
1556 1 2
1559 167 152
1558 85 86
1553 20 19
1552 143 132
1555 75 76
1554 9 10
1763 79 74
1762 53 50
1761 24 25
1760 81 82
1767 144 130
1766 1 2
1765 139 138
1764 23 23
1771 185 180
1770 9 9
1769 6 7
1768 449 238
1775 73 72
1774 3 4
1773 3 4
1772 39 37
1778 11 12
1779 1 2
1776 9 10
1777 28 29
1782 70 70
1783 55 53
1780 3 4
1781 58 59
1786 9 10
1787 20 19
1784 7 8
1785 9 10
1790 47 47
1791 10 11
1788 80 81
1789 10 11
1729 5 6
1728 121 121
1731 4 5
1730 4 5
1733 1 2
1732 2 3
1735 3 4
1734 40 41
1737 173 172
1736 81 78
1739 4 5
1738 15 16
1741 4 5
1740 4 5
1743 60 60
1742 43 44
1744 18 19
1745 2 3
1746 5 6
1747 16 17
1748 10 11
1749 10 11
1750 1 2
1751 1 2
1752 3 4
1753 3 4
1754 4 5
1755 4 5
1756 61 61
1757 11 12
1758 1 2
1759 30 29
1703 4 5
1702 2 3
1701 1 2
1700 6 7
1699 3 4
1698 4 5
1697 98 98
1696 52 52
1711 24 25
1710 10 11
1709 2 3
1708 65 66
1707 18 19
1706 3 4
1705 8 9
1704 30 31
1718 7 8
1719 1 2
1716 23 24
1717 3 4
1714 3 4
1715 1 2
1712 4 5
1713 38 39
1726 1 2
1727 10 11
1724 1 2
1725 218 137
1722 3 4
1723 10 11
1720 4 5
1721 4 5
1669 33 34
1668 65 65
1671 1 2
1670 19 18
1665 37 38
1664 2 3
1667 124 122
1666 7 8
1677 4 5
1676 5 6
1679 6 7
1678 10 11
1673 2 3
1672 424 352
1675 8 9
1674 19 20
1684 2 3
1685 23 24
1686 69 66
1687 4 5
1680 6 7
1681 3 4
1682 24 25
1683 53 53
1692 21 22
1693 7 8
1694 1 2
1695 22 23
1688 9 10
1689 37 38
1690 5 6
1691 107 106
1913 57 58
1912 44 45
1915 7 8
1914 71 71
1917 16 17
1916 57 58
1919 48 48
1918 58 59
1905 3 4
1904 11 12
1907 63 64
1906 14 15
1909 19 20
1908 6 7
1911 34 33
1910 78 79
1896 12 13
1897 60 60
1898 31 31
1899 225 221
1900 4 5
1901 11 9
1902 92 93
1903 26 27
1888 30 30
1889 18 18
1890 12 13
1891 33 34
1892 16 17
1893 47 48
1894 29 30
1895 33 34
1883 80 80
1882 20 21
1881 11 12
1880 48 49
1887 5 6
1886 41 40
1885 77 78
1884 51 52
1875 20 20
1874 4 5
1873 53 54
1872 5 6
1879 20 21
1878 5 6
1877 15 16
1876 57 58
1866 16 17
1867 5 5
1864 88 87
1865 22 23
1870 19 20
1871 85 85
1868 5 6
1869 3 4
1858 8 9
1859 6 7
1856 12 13
1857 12 13
1862 77 77
1863 3 4
1860 10 11
1861 7 8
1853 56 56
1852 21 21
1855 5 6
1854 11 12
1849 31 32
1848 4 5
1851 24 25
1850 6 7
1845 17 18
1844 8 9
1847 43 44
1846 16 17
1841 52 53
1840 8 9
1843 60 61
1842 110 111
1836 115 116
1837 13 14
1838 46 47
1839 7 8
1832 5 6
1833 74 63
1834 6 7
1835 155 156
1828 37 36
1829 6 7
1830 9 10
1831 63 64
1824 609 486
1825 7 8
1826 8 9
1827 53 53
1823 35 36
1822 11 11
1821 280 225
1820 6 7
1819 262 203
1818 11 5
1817 278 169
1816 94 95
1815 75 76
1814 94 95
1813 119 102
1812 6 6
1811 4 5
1810 5 5
1809 52 49
1808 4 5
1806 163 68
1807 29 30
1804 5 6
1805 5 6
1802 14 15
1803 23 21
1800 17 13
1801 41 40
1798 26 27
1799 9 10
1796 3 4
1797 41 41
1794 2 3
1795 6 7
1792 14 15
1793 147 99
2032 1 2
2033 2 3
2034 1 2
2035 1 2
2036 3 4
2037 1 2
2038 3 4
2039 58 59
2040 29 28
2041 29 29
2042 4 5
2043 1 2
2044 3 4
2045 109 105
2046 79 80
2047 75 62
2017 2 3
2016 1 2
2019 3 4
2018 19 19
2021 1 2
2020 3 4
2023 1 2
2022 28 29
2025 2 3
2024 4 5
2027 2 3
2026 1 2
2029 23 23
2028 5 6
2031 16 17
2030 2 3
2002 3 4
2003 2 3
2000 3 4
2001 58 59
2006 30 31
2007 7 8
2004 2 3
2005 1 2
2010 30 31
2011 45 46
2008 6 7
2009 8 9
2014 10 11
2015 119 82
2012 1 2
2013 12 13
1987 26 26
1986 2 3
1985 1 2
1984 1 2
1991 16 17
1990 16 17
1989 38 38
1988 5 6
1995 5 6
1994 2 2
1993 19 20
1992 4 2
1999 1 2
1998 15 16
1997 43 44
1996 49 50
1972 2 3
1973 2 3
1974 2 3
1975 20 21
1968 1 2
1969 3 4
1970 46 25
1971 18 19
1980 3 4
1981 7 8
1982 8 9
1983 20 21
1976 34 33
1977 2 3
1978 6 7
1979 5 6
1957 2 3
1956 1 2
1959 3 4
1958 4 5
1953 41 42
1952 8 9
1955 1 2
1954 10 11
1965 3 4
1964 17 17
1967 1 2
1966 75 76
1961 77 78
1960 35 33
1963 1 2
1962 64 62
1942 1 2
1943 13 14
1940 1 2
1941 61 62
1938 6 7
1939 80 80
1936 37 36
1937 35 36
1950 8 8
1951 86 87
1948 3 3
1949 1 2
1946 36 37
1947 22 23
1944 23 22
1945 10 11
1927 197 162
1926 23 24
1925 26 27
1924 24 25
1923 9 10
1922 18 12
1921 6 7
1920 6 7
1935 310 294
1934 83 82
1933 106 106
1932 16 17
1931 16 17
1930 31 29
1929 75 76
1928 5 6
2200 5 6
2201 1 2
2202 1 2
2203 1 2
2204 1 2
2205 1 2
2206 2 3
2207 2 3
2192 6 7
2193 4 5
2194 4 5
2195 5 6
2196 4 5
2197 1 2
2198 1 2
2199 9 10
2185 7 8
2184 16 17
2187 4 2
2186 30 9
2189 131 132
2188 4 5
2191 2 3
2190 22 23
2177 2 3
2176 21 22
2179 2 3
2178 12 13
2181 2 3
2180 1 2
2183 1 2
2182 2 3
2234 60 59
2235 1 2
2232 1 2
2233 1 2
2238 1 2
2239 1 2
2236 1 2
2237 2 3
2226 4 4
2227 3 4
2224 3 4
2225 3 4
2230 1 2
2231 1 2
2228 93 94
2229 81 77
2219 3 4
2218 50 47
2217 12 13
2216 20 21
2223 3 4
2222 11 12
2221 1 2
2220 1 2
2211 31 30
2210 6 7
2209 1 2
2208 1 2
2215 308 218
2214 7 8
2213 27 27
2212 1 2
2268 69 69
2269 46 46
2270 69 70
2271 66 52
2264 91 91
2265 16 17
2266 6 7
2267 105 104
2260 38 39
2261 26 27
2262 55 56
2263 110 108
2256 56 57
2257 23 19
2258 18 19
2259 8 8
2253 217 152
2252 25 23
2255 14 13
2254 68 56
2249 1 2
2248 4 5
2251 27 27
2250 31 15
2245 1 2
